,MDS_x,MDS_y,country,iso_alpha,continent,tsne_x,tsne_y,scluster6,kmeans6
0,5.024203440471681,5.303836962683387,Afghanistan,AFG,Asia,-7.584036,-8.640975,5,3
12,-3.1802491928713468,0.740198148608179,Albania,ALB,Europe,-0.019753065,4.705067,1,5
24,-0.3753744560033197,1.1684064226419832,Algeria,DZA,Africa,-1.0912509,0.73045635,1,1
36,5.9828649684145985,3.226958720249147,Angola,AGO,Africa,-8.343448,-8.620208,5,3
48,-2.0121988626529945,-2.489645465723058,Argentina,ARG,Americas,3.065515,6.356602,4,5
60,-2.277033452991646,-7.737217882543863,Australia,AUS,Oceania,5.3963604,11.183251,3,0
72,-1.8454373639739574,-7.276780351982455,Austria,AUT,Europe,5.889816,10.259672,3,0
84,0.6677307330030635,-6.4040232258022005,Bahrain,BHR,Asia,4.2743464,11.184787,3,0
96,1.3061253338016665,4.10079203737888,Bangladesh,BGD,Asia,-5.169538,-3.7290325,0,3
108,-2.143791651370143,-7.318485867613501,Belgium,BEL,Europe,5.416687,10.613224,3,0
120,2.077951934329823,3.6675030664504784,Benin,BEN,Africa,-5.0011005,-4.971744,0,3
132,1.036012317843383,2.60561082216785,Bolivia,BOL,Americas,-4.402973,-2.2425613,0,1
144,-3.0280143201500525,0.869360416389192,Bosnia and Herzegovina,BIH,Europe,-0.14624408,4.402979,1,5
156,2.1719742502894537,0.8049450058063525,Botswana,BWA,Africa,-1.9183939,-4.6282463,0,1
168,-0.9576649480154016,0.25565237287589315,Brazil,BRA,Americas,0.04593401,2.383791,1,1
180,-3.1660105538524865,-0.882411373776435,Bulgaria,BGR,Europe,1.4456702,6.1254525,4,5
192,2.9667023747228223,4.423169123928738,Burkina Faso,BFA,Africa,-6.078526,-6.852586,5,3
204,3.5515965154404348,4.17242300183743,Burundi,BDI,Africa,-6.896382,-6.661134,5,3
216,1.4312947387617045,4.926712652800951,Cambodia,KHM,Asia,-4.4291515,-6.827155,0,3
228,2.5700366169419144,3.2359338156452564,Cameroon,CMR,Africa,-4.808741,-5.576484,0,3
240,-1.8235497053832899,-8.971265691758624,Canada,CAN,Americas,5.7367163,11.677433,3,0
252,3.809639105591721,3.931908613255844,Central African Republic,CAF,Africa,-7.0079293,-6.696915,5,3
264,2.77547829036214,3.7729793287957456,Chad,TCD,Africa,-5.6696196,-6.0117664,5,3
276,-2.3810032356425572,-0.6378959602623973,Chile,CHL,Americas,1.4837738,4.5326433,4,5
288,-1.9057521087940932,2.579250316758326,China,CHN,Asia,-2.0541427,2.3034196,1,1
300,-1.6856303498738487,0.7704499583234793,Colombia,COL,Americas,-0.30198136,3.1745157,1,1
312,0.9334301209379656,3.3180930215034197,Comoros,COM,Africa,-4.301301,-2.90831,0,3
324,3.9299496580499618,3.8247835899250653,"Congo, Dem. Rep.",COD,Africa,-7.2723446,-6.5172763,5,3
336,1.8350638903536518,1.8947658486978403,"Congo, Rep.",COG,Africa,-2.5355217,-4.187278,0,3
348,-3.3427917820724216,-0.3269602185828747,Costa Rica,CRI,Americas,0.93797654,5.203535,4,5
360,2.9555733070322536,2.7896228415566116,Cote d'Ivoire,CIV,Africa,-4.3383036,-5.6898985,0,3
372,-2.577960285352639,-2.30180553318874,Croatia,HRV,Europe,2.646335,6.9648485,4,5
384,-3.597337474701859,-1.1384483965542995,Cuba,CUB,Americas,2.4850812,5.5826387,4,5
396,-1.8602702968271323,-4.901837280280299,Czech Republic,CZE,Europe,4.1016617,9.28238,2,2
408,-1.9503009408039722,-8.460239303195983,Denmark,DNK,Europe,5.845476,11.385561,3,0
420,2.9492572357017326,3.166697701143583,Djibouti,DJI,Africa,-5.899203,-5.2195487,0,3
